variant,n_trades,expectancy,win_rate,ret,maxdd,streak,streak_sum
甲1 现状: 风险2% / 止损15%,53,0.0004810430268965183,0.20754716981132076,0.021460582858050747,-0.030665717546630056,11,-0.01095305549611818
甲2 风险5%,53,0.0012026075672412929,0.20754716981132076,0.051981124703529336,-0.0745695883501657,11,-0.027382638740295617
甲3 风险10%,53,0.002405215134482603,0.20754716981132076,0.09816226456533905,-0.1426000483202664,11,-0.05476527748059087
甲4 风险20%,53,0.004810430268965187,0.20754716981132076,0.17176285712559936,-0.26191283182762226,11,-0.10953055496118208
甲5 口径修正: 止损8% / 风险2%(真),53,0.0009019556754309701,0.20754716981132076,0.03951294606251077,-0.056572201490221685,11,-0.02053697905522167
甲6 口径修正 + 风险5%,53,0.00225488918857744,0.20754716981132076,0.09272035617108765,-0.13442718349190352,11,-0.051342447638053804
乙1 快信号 24/168 + 闸门,73,0.00013660253100486835,0.2054794520547945,0.005707672820514542,-0.03291808550605946,12,-0.007219366361165352
乙2 快信号 24/168 去闸门,80,-0.0006319027186375045,0.2875,-0.05377619087270158,-0.09102185219214853,11,-0.032296043370353696
乙3 去闸门 48/336,41,0.0001566999211527072,0.36585365853658536,0.0019527519240125635,-0.04429911850415047,5,-0.017717940559523485
乙4 ETH 同策略(独立100U),66,0.0007113748634622281,0.24242424242424243,0.04609174310611541,-0.05660435574597633,19,-0.02113229538246014
乙5 BTC+ETH 各一半资金,119,0.0006087900959161556,0.226890756302521,0.03377616298208297,-0.04246375609276121,18,-0.02039647410847362
