system,k,risk_pct,n_trades,expectancy_acct_pct,ci_low,ci_high,median_acct_pct,win_rate,profit_factor,positive_segments,segments
atrstop,2.0,,506,0.005178835080094486,-0.0007264826031327368,0.011839514328826347,-0.010612448693988337,0.17588932806324112,1.421184404349297,15,24
atrstop,3.0,,416,0.007160244637936955,-6.0220733738972605e-05,0.015255571223647565,-0.008991399406392554,0.1875,1.5298859838707288,16,24
atrstop,4.0,,373,0.00835606617907539,0.00034906447710584876,0.01733987207449165,-0.008115867487452405,0.19302949061662197,1.5628091850204437,16,24
sized,2.0,0.005,506,0.0019867868337909923,-0.00021497729460720057,0.004572800600622798,-0.005168202059371665,0.17588932806324112,1.5099541763979756,16,24
sized,2.0,0.01,506,0.00397357366758198,-0.0004299545892143995,0.009145601201245605,-0.010336404118743325,0.17588932806324112,1.4610828101129183,16,24
sized,2.0,0.02,506,0.007947147335163966,-0.0008599091784288104,0.018291202402491213,-0.020672808237486618,0.17588932806324112,1.3774578777502897,16,24
sized,3.0,0.005,416,0.0016074258228280776,-8.871307937404945e-05,0.003634804617419347,-0.002167679317674291,0.1875,1.5685305739668474,16,24
sized,3.0,0.01,416,0.003214851645656156,-0.0001774261587481025,0.007269609234838696,-0.004335358635348622,0.1875,1.5316266819187117,16,24
sized,3.0,0.02,416,0.00642970329131231,-0.00035485231749620707,0.014539218469677389,-0.008670717270697272,0.1875,1.4639406671504547,16,24
sized,4.0,0.005,373,0.0014009638491989502,-1.0362011132236093e-06,0.0030758301635258264,-0.001421909660189594,0.19302949061662197,1.6345540334012174,17,24
sized,4.0,0.01,373,0.0028019276983978977,-2.0724022264477857e-06,0.006151660327051648,-0.0028438193203792084,0.19302949061662197,1.6065421046235406,17,24
sized,4.0,0.02,373,0.0056038553967958,-4.1448044528953225e-06,0.0123033206541033,-0.005687638640758374,0.19302949061662197,1.553519301837801,17,24
