segment,start,end,n_trades,expectancy_acct_pct,win_rate,profit_factor,strat_return,bench_return,max_drawdown,symbol,system
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,13,0.025848801330145162,0.15384615384615385,1.8397145167319837,0.5011823038570349,0.16483975067537204,-0.2956167716716841,BTC,base
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,8,0.034565372108490776,0.25,1.7716289523914637,0.23626410468861803,0.3937653887468364,-0.21355127624560188,BTC,base
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,15,-0.013003800534556442,0.06666666666666667,0.21916208902825457,-0.18322778960516284,-0.5688684067079095,-0.2518813800666969,BTC,base
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,6,-0.020803885760383615,0.0,0.0,-0.11876028066326683,-0.18061323236961868,-0.13953295865808657,BTC,base
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,7,0.045676025147526944,0.42857142857142855,2.2219038074227253,0.43534928064001543,0.830560352914576,-0.1750404812002131,BTC,base
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,11,0.03051121596305119,0.09090909090909091,3.5847858870328952,0.27747612695518153,0.3930763231841963,-0.12685532690415846,BTC,base
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,22,0.010834123879664615,0.09090909090909091,1.4130628248455526,0.14101930710456378,0.4516433682936658,-0.23098401556510695,BTC,base
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,22,0.0054827472382967665,0.22727272727272727,1.3568844082932332,0.09019201054061066,0.5561169590643273,-0.17282138432879224,BTC,base
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,10,0.006008223561658916,0.3,1.359265940864936,0.04667485977371233,0.11358327654513989,-0.12448755420855173,BTC,base
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,13,-0.006517391460344611,0.0,0.0,0.0001125287046079837,-0.18331548788931484,-0.13064441417473838,BTC,base
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,17,0.0009082475454686219,0.17647058823529413,1.1047793722918469,0.010619904045040096,-0.31511604683195593,-0.11840227557021998,BTC,base
12,2026-06-26 00:00:00+00:00,2026-09-07 23:00:00+00:00,11,0.00879444921883481,0.18181818181818182,1.908673756315349,0.05408271011134058,0.32589020178460193,-0.09808686460011462,BTC,base
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,15,0.02306358827845058,0.13333333333333333,1.817995588149059,0.5139428960628158,0.16483975067537204,-0.28047905254194894,BTC,atrstop
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,16,0.013517134790313898,0.25,1.4022598208760797,0.16547394221657163,0.3937653887468364,-0.2659322227846723,BTC,atrstop
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,17,-0.012737930650672392,0.058823529411764705,0.2016182153832571,-0.1995714285141138,-0.5688684067079095,-0.2668512583628032,BTC,atrstop
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,7,-0.018921572583231495,0.14285714285714285,0.14332941005750857,-0.12635176952241634,-0.18061323236961868,-0.14442486802352394,BTC,atrstop
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,11,0.030016445601990658,0.36363636363636365,2.2709933180047006,0.45398540025635126,0.830560352914576,-0.1748782697225666,BTC,atrstop
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,19,0.014904659981616582,0.10526315789473684,2.1627388272982317,0.21144164839980562,0.3930763231841963,-0.15505798748552513,BTC,atrstop
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,31,0.00617330235782617,0.16129032258064516,1.2296283458189505,0.09111169461210888,0.4516433682936658,-0.26499231493790054,BTC,atrstop
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,29,0.002594529590367476,0.2413793103448276,1.1178434735487017,0.04029520529174668,0.5561169590643273,-0.1945123926493677,BTC,atrstop
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,16,0.0026903649050124437,0.25,1.2039739654725525,0.02950459149735596,0.11358327654513989,-0.12033691174297678,BTC,atrstop
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,16,-0.00021369988601867415,0.1875,0.9230970320638883,-0.015781381054145838,-0.18331548788931484,-0.14359416061208718,BTC,atrstop
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,18,0.0003063348096096283,0.16666666666666666,1.0052935427847494,0.0005838831069588934,-0.31511604683195593,-0.1271570340960797,BTC,atrstop
12,2026-06-26 00:00:00+00:00,2026-09-07 23:00:00+00:00,14,0.0045460860809513745,0.14285714285714285,1.380341986304286,0.04286293807047303,0.32589020178460193,-0.1046878750686695,BTC,atrstop
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,15,0.00021510949509860583,0.13333333333333333,1.0185326569944315,0.10152258947800852,0.16483975067537204,-0.15093574960757072,BTC,sized
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,16,0.005589385551449963,0.25,1.777449544114294,0.08345630723160102,0.3937653887468364,-0.08575839875182567,BTC,sized
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,17,-0.004126254598249356,0.058823529411764705,0.16990212275465527,-0.06816178529100969,-0.5688684067079095,-0.08650921369322151,BTC,sized
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,7,-0.006827381833492223,0.14285714285714285,0.13443593836244772,-0.04696603063741389,-0.18061323236961868,-0.08305658224333745,BTC,sized
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,11,0.028776820072796038,0.36363636363636365,4.9396856863849665,0.38918560592718454,0.830560352914576,-0.09437383929482657,BTC,sized
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,19,-0.0004529955218755705,0.10526315789473684,0.8806118844241023,-0.023163409418122338,0.3930763231841963,-0.10722029892524798,BTC,sized
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,31,0.0067893839047516325,0.16129032258064516,1.8603606758230957,0.16636452845909755,0.4516433682936658,-0.1625321102761479,BTC,sized
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,29,0.0012745778219211553,0.2413793103448276,1.243198683278756,0.03206375654766225,0.5561169590643273,-0.059304754416994565,BTC,sized
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,16,0.0009948787046333328,0.25,1.1280532180835758,0.008370225545706322,0.11358327654513989,-0.07912408441596863,BTC,sized
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,16,-4.195043418341905e-05,0.1875,0.9534832932061527,-0.010351933425174487,-0.18331548788931484,-0.11963705436192018,BTC,sized
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,18,-0.0005934688833385695,0.16666666666666666,0.8253628028875584,-0.011864178435571415,-0.31511604683195593,-0.09208076159449874,BTC,sized
12,2026-06-26 00:00:00+00:00,2026-09-07 23:00:00+00:00,14,0.008371524604930193,0.14285714285714285,2.2765170062353604,0.10189982376895901,0.32589020178460193,-0.0776565806574614,BTC,sized
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,10,0.069660732990218,0.4,3.8361173012414977,2.115752274531454,1.9086871824212945,-0.29406248545559777,ETH,base
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,9,0.0516134368886395,0.3333333333333333,2.4601985508996242,0.4569956190615543,0.733155986848884,-0.20631441404688655,ETH,base
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,12,-0.0020264103816572065,0.08333333333333333,0.7879153775069092,-0.03791704512570382,-0.7038993676701075,-0.1392049266382479,ETH,base
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,8,0.015288429731387977,0.25,1.6523369933907934,0.09960134434595513,0.09516769336071174,-0.2077841885138273,ETH,base
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,13,0.010233694257371377,0.23076923076923078,1.3888169496936325,0.11255282690357737,0.5416281259635176,-0.21177314525423485,ETH,base
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,9,0.0049953036595425365,0.2222222222222222,1.1708590032847335,0.043085612923318584,0.26665405405405407,-0.17846297874919825,ETH,base
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,9,0.04570621228582514,0.3333333333333333,1.6861462572580184,0.23361767140435807,0.4678296938945339,-0.2957300474090431,ETH,base
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,28,-0.00477727854669014,0.10714285714285714,0.557140171438446,-0.14057314291526957,-0.026793969031102538,-0.24464780613956194,ETH,base
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,23,0.00045210916882329054,0.08695652173913043,0.8679463055886465,-0.046555552723936744,-0.28292237006410903,-0.2675502476904529,ETH,base
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,12,0.022911878828624662,0.4166666666666667,2.150246097511877,0.23783587151348806,0.20981852722091676,-0.2354842351990658,ETH,base
11,2025-12-26 00:00:00+00:00,2026-06-26 00:00:00+00:00,12,-0.00909757791125011,0.16666666666666666,0.39293705451970645,-0.10791165455993146,-0.46118457300275484,-0.21489032460335822,ETH,base
12,2026-06-26 00:00:00+00:00,2026-09-08 23:00:00+00:00,5,0.0439366436138751,0.4,5.627808888125271,0.2243796401718341,0.5881819111406512,-0.07966284592580475,ETH,base
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,11,0.06218609654356648,0.36363636363636365,3.624729086504862,2.0799977704789336,1.9086871824212945,-0.29406248545559754,ETH,atrstop
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,16,0.01941846105388341,0.125,1.6439727034496012,0.2525512764043403,0.733155986848884,-0.2716925396822386,ETH,atrstop
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,14,-0.0030466710602075906,0.07142857142857142,0.7149986279712068,-0.05525155694274608,-0.7038993676701075,-0.1409755196871283,ETH,atrstop
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,9,0.012891424465252686,0.2222222222222222,1.5838172490587492,0.09272416388557359,0.09516769336071174,-0.21410970625650783,ETH,atrstop
