形态,未来小时,次数,平均涨跌,中位涨跌,上涨概率,涨5%概率,币种
全部时间(基准),24,60013,0.001348045311907019,0.0008284224980428245,0.5204124123457201,0.05045222113030298,BTC
瀑布/砸盘,24,64,0.034140282210239584,0.022741740002734434,0.6875,0.328125,BTC
拉盘,24,47,0.01223121876642965,0.011142177833907585,0.5531914893617021,0.3191489361702128,BTC
反弹,24,612,0.0028019863855033183,0.0008113590290623751,0.5130718954248366,0.09640522875816994,BTC
回调,24,10343,0.0027378231334859804,0.0028540368142471184,0.563666247703761,0.05162912114473557,BTC
盘整,24,4316,0.000922355112586573,0.0008872066767359188,0.5403151065801668,0.020852641334569044,BTC
疑似洗盘,24,28,0.03452315807054741,0.028899318350754988,0.7857142857142857,0.35714285714285715,BTC
大资金异动,24,181,0.006107471765076633,0.0017459248965421281,0.5248618784530387,0.11602209944751381,BTC
疑似吸筹,24,3761,0.0009505438410795423,0.001013969484999544,0.5208721084817868,0.045732517947354424,BTC
全部时间(基准),72,59965,0.004009575126866861,0.0025506127143430923,0.5287739227476389,0.14519379715841899,BTC
瀑布/砸盘,72,64,0.0435160984554065,0.02612173995810274,0.765625,0.40625,BTC
拉盘,72,47,0.013187744464890955,0.011586514097056577,0.574468085106383,0.2553191489361702,BTC
反弹,72,612,0.0031874095607503966,0.003782174759533019,0.5228758169934641,0.25326797385620914,BTC
回调,72,10316,0.008941115125084999,0.007061967824423809,0.5731872818922062,0.1728383094222567,BTC
盘整,72,4282,0.0023715899083622633,0.0017264510552266188,0.5270901447921532,0.0824381130312938,BTC
疑似洗盘,72,28,0.05038612004766729,0.02840239662842059,0.7142857142857143,0.42857142857142855,BTC
大资金异动,72,181,0.008404697254249712,0.009015463609767682,0.5524861878453039,0.24861878453038674,BTC
疑似吸筹,72,3760,0.003721779456180157,0.0023299614676779434,0.524468085106383,0.1356382978723404,BTC
全部时间(基准),168,59869,0.009504387606057188,0.004667081745329149,0.5337042157336309,0.244232723154055,BTC
瀑布/砸盘,168,64,0.06379141042474461,0.05608650675991489,0.734375,0.515625,BTC
拉盘,168,47,0.048527068671732815,0.04042550490835595,0.6595744680851063,0.44680851063829785,BTC
反弹,168,612,0.012711908635743714,0.007004534986504551,0.5506535947712419,0.3088235294117647,BTC
回调,168,10259,0.018545940345237592,0.01261041371141225,0.5801735061896871,0.2980797348669461,BTC
盘整,168,4282,0.008473534027401485,0.0006889304783191941,0.5109761793554414,0.18566090611863614,BTC
疑似洗盘,168,28,0.0673287530661175,0.06032430739410022,0.7857142857142857,0.5357142857142857,BTC
大资金异动,168,181,0.008657788176163242,0.00236391804779168,0.5138121546961326,0.287292817679558,BTC
疑似吸筹,168,3752,0.006699267877297143,0.004578445263276332,0.537046908315565,0.2316098081023454,BTC
全部时间(基准),24,60037,0.0018783146475467377,0.0011875511875512057,0.5195051697440936,0.09160686635254159,ETH
瀑布/砸盘,24,136,0.024234895303189653,0.019960373669728915,0.6544117647058824,0.3235294117647059,ETH
拉盘,24,96,0.022450677918208758,0.021463143066851154,0.625,0.3229166666666667,ETH
反弹,24,1052,0.0016732226884766284,-0.0001902275995505076,0.4990494296577947,0.16159695817490494,ETH
回调,24,13558,0.003348073448191506,0.0028615121438368973,0.5458032158135419,0.1053990264050745,ETH
盘整,24,2790,-6.741995130730206e-05,0.00083741920996383,0.5362007168458781,0.025448028673835124,ETH
疑似洗盘,24,59,0.022015006031423853,0.015412712567318687,0.5932203389830508,0.23728813559322035,ETH
大资金异动,24,347,0.00624889435739696,0.004609688747990726,0.5273775216138329,0.14697406340057637,ETH
疑似吸筹,24,3818,0.0012093628218219448,0.0006332134320529148,0.5102147721320063,0.0783132530120482,ETH
全部时间(基准),72,59989,0.00566428359160626,0.0034223763695246934,0.5298946071493981,0.20762225071177637,ETH
瀑布/砸盘,72,136,0.021958173522213662,0.02670965697198391,0.6176470588235294,0.4338235294117647,ETH
拉盘,72,96,0.020316579979238494,0.008929801670706006,0.5520833333333334,0.375,ETH
反弹,72,1052,0.002195166907951882,0.006132714475167611,0.5380228136882129,0.26806083650190116,ETH
回调,72,13548,0.007915145307267528,0.00562706744161845,0.5482728077945084,0.21759669323885444,ETH
盘整,72,2789,0.0013732444291910096,0.001455040053140788,0.5184653997848692,0.11832197920401577,ETH
疑似洗盘,72,59,0.03917132734820657,0.034378172024312814,0.6610169491525424,0.423728813559322,ETH
大资金异动,72,347,0.009359667624970888,0.005847261253266289,0.5389048991354467,0.2420749279538905,ETH
疑似吸筹,72,3815,0.004350036398015444,0.0016551651199070427,0.5171690694626474,0.19344692005242464,ETH
全部时间(基准),168,59893,0.013475653599023642,0.005522084586931708,0.5286958259103245,0.3064218044987596,ETH
瀑布/砸盘,168,136,0.04488250240211031,0.04742500441945774,0.6691176470588235,0.4852941176470588,ETH
拉盘,168,96,0.057477573263737126,0.03925668480897404,0.6041666666666666,0.4895833333333333,ETH
反弹,168,1052,0.01651586196753321,0.012723169591221106,0.5684410646387833,0.33269961977186313,ETH
回调,168,13503,0.018988206609470884,0.011530344366088352,0.5556542990446568,0.34177590165148486,ETH
盘整,168,2768,0.007473708628373218,0.0011577867327469127,0.5130057803468208,0.23482658959537572,ETH
疑似洗盘,168,59,0.06976802071632966,0.04953737394739588,0.6779661016949152,0.4915254237288136,ETH
大资金异动,168,346,0.019371593168763118,0.009551615772022681,0.5404624277456648,0.3265895953757225,ETH
疑似吸筹,168,3811,0.0069110716990208555,0.002045606975184411,0.510889530307006,0.2847021779060614,ETH
