K,outcome,n,edge_mean,dist_med,triggered,pnl,ret,bucket
56000.0,1.0,155,0.018458194264121323,0.1525,6,0.04555000000000005,0.04820105820105826,价远低于K(暴跌才中)
58000.0,1.0,170,0.008220644046231185,0.11227672413793108,4,0.04555000000000005,0.04820105820105826,价远低于K(暴跌才中)
60000.0,1.0,153,0.011938281988763587,0.07575999999999998,0,,,价远低于K(暴跌才中)
62000.0,1.0,160,0.008288757594403178,0.04091370967741938,14,0.09604999999999998,0.10731843575418992,价远低于K(暴跌才中)
64000.0,0.0,158,-0.007849396029054045,0.0082734375,8,-0.63125,-1.01,价远低于K(暴跌才中)
66000.0,0.0,138,-0.016570725104400295,-0.02004242424242423,3,-0.041915,-1.01,价远低于K(暴跌才中)
68000.0,0.0,169,-0.006900334066207589,-0.051282352941176425,0,,,价远低于K(暴跌才中)
70000.0,0.0,150,-0.0058830834459655205,-0.07781428571428572,0,,,价远低于K(暴跌才中)
72000.0,0.0,138,-0.008919400794837462,-0.10170555555555555,0,,,价远低于K(暴跌才中)
74000.0,0.0,128,-0.006654661868808559,-0.12576959459459458,0,,,价远低于K(暴跌才中)
76000.0,0.0,150,-0.0039305245625848965,-0.15061842105263157,0,,,价远低于K(暴跌才中)
