time_utc,side,reason,expected_px,fill_px,slippage_pct,notional,units,pnl_acct_pct,balance
2020-01-06 21:00:00+00:00,BUY,signal,7578.42,7578.42,+0.0000%,666.00,0.08788112,+0.0000%,9999.33
2020-01-24 05:00:00+00:00,SELL,signal,7578.42,8321.86,+0.0000%,731.33,0.08788112,+9.5905%,10795.27
2020-01-28 02:00:00+00:00,BUY,signal,9119.79,9119.79,+0.0000%,670.26,0.07349491,+0.0000%,10063.27
2020-02-17 12:00:00+00:00,SELL,signal,9119.79,9633.14,+0.0000%,707.99,0.07349491,+5.4178%,10808.27
2020-04-23 12:00:00+00:00,BUY,signal,7167.70,7167.70,+0.0000%,672.68,0.09384866,+0.0000%,10099.61
2020-05-11 14:00:00+00:00,SELL,signal,7167.70,8871.89,+0.0000%,832.61,0.09384866,+23.5285%,11091.33
2020-05-14 09:00:00+00:00,BUY,signal,9803.54,9803.54,+0.0000%,683.23,0.06969222,+0.0000%,10258.03
2020-05-22 07:00:00+00:00,SELL,signal,9803.54,9081.81,+0.0000%,632.93,0.06969222,-7.5471%,10840.03
2020-05-29 09:00:00+00:00,BUY,signal,9445.00,9445.00,+0.0000%,679.79,0.07197384,+0.0000%,10206.42
2020-06-12 07:00:00+00:00,SELL,signal,9445.00,9439.00,+0.0000%,679.36,0.07197384,-0.2633%,10884.67
2020-06-23 06:00:00+00:00,BUY,signal,9635.14,9635.14,+0.0000%,679.67,0.07054112,+0.0000%,10204.63
2020-06-25 02:00:00+00:00,SELL,signal,9635.14,9255.01,+0.0000%,652.86,0.07054112,-4.1373%,10830.02
2020-06-25 08:00:00+00:00,BUY,signal,9301.14,9301.14,+0.0000%,677.80,0.07287267,+0.0000%,10176.48
2020-06-25 09:00:00+00:00,SELL,signal,9301.14,9254.47,+0.0000%,674.40,0.07287267,-0.7007%,10846.80
2020-07-08 13:00:00+00:00,BUY,signal,9437.99,9437.99,+0.0000%,677.48,0.07178248,+0.0000%,10171.73
2020-07-09 14:00:00+00:00,SELL,signal,9437.99,9295.90,+0.0000%,667.28,0.07178248,-1.7024%,10828.14
2020-07-21 19:00:00+00:00,BUY,signal,9354.35,9354.35,+0.0000%,676.71,0.07234211,+0.0000%,10160.18
2020-07-22 07:00:00+00:00,SELL,signal,9354.35,9302.00,+0.0000%,672.93,0.07234211,-0.7584%,10828.65
2020-07-22 10:00:00+00:00,BUY,signal,9338.00,9338.00,+0.0000%,676.37,0.07243213,+0.0000%,10155.05
2020-07-22 12:00:00+00:00,SELL,signal,9338.00,9328.99,+0.0000%,675.72,0.07243213,-0.2962%,10829.44
2020-07-22 14:00:00+00:00,BUY,signal,9337.80,9337.80,+0.0000%,676.24,0.07241938,+0.0000%,10153.04
2020-07-22 16:00:00+00:00,SELL,signal,9337.80,9328.14,+0.0000%,675.54,0.07241938,-0.3031%,10827.20
2020-07-22 17:00:00+00:00,BUY,signal,9364.31,9364.31,+0.0000%,676.10,0.07219977,+0.0000%,10150.99
2020-08-13 07:00:00+00:00,SELL,signal,9364.31,11513.43,+0.0000%,831.27,0.07219977,+22.7043%,11136.59
2020-08-14 02:00:00+00:00,BUY,signal,11727.08,11727.08,+0.0000%,686.33,0.05852562,+0.0000%,10304.64
2020-08-21 21:00:00+00:00,SELL,signal,11727.08,11535.00,+0.0000%,675.09,0.05852562,-1.8345%,10967.81
2020-08-31 21:00:00+00:00,BUY,signal,11632.61,11632.61,+0.0000%,685.50,0.05892875,+0.0000%,10292.03
2020-09-03 13:00:00+00:00,SELL,signal,11632.61,10917.03,+0.0000%,643.33,0.05892875,-6.3391%,10892.55
2020-09-16 15:00:00+00:00,BUY,signal,11004.99,11004.99,+0.0000%,682.60,0.06202625,+0.0000%,10248.54
2020-09-16 19:00:00+00:00,SELL,signal,11004.99,10982.20,+0.0000%,681.18,0.06202625,-0.4066%,10927.63
2020-09-16 21:00:00+00:00,BUY,signal,11015.09,11015.09,+0.0000%,682.41,0.06195258,+0.0000%,10245.76
2020-09-16 23:00:00+00:00,SELL,signal,11015.09,10954.01,+0.0000%,678.63,0.06195258,-0.7533%,10919.93
2020-09-19 11:00:00+00:00,BUY,signal,11140.00,11140.00,+0.0000%,682.07,0.06122716,+0.0000%,10240.62
2020-09-19 16:00:00+00:00,SELL,signal,11140.00,11059.30,+0.0000%,677.13,0.06122716,-0.9229%,10912.13
2020-09-19 20:00:00+00:00,BUY,signal,11087.31,11087.31,+0.0000%,681.65,0.06148028,+0.0000%,10234.32
2020-09-19 21:00:00+00:00,SELL,signal,11087.31,11052.18,+0.0000%,679.49,0.06148028,-0.5161%,10910.97
2020-10-09 11:00:00+00:00,BUY,signal,11050.43,11050.43,+0.0000%,681.42,0.06166424,+0.0000%,10230.79
2020-11-27 13:00:00+00:00,SELL,signal,11050.43,16944.79,+0.0000%,1044.89,0.06166424,+53.0340%,11638.11
2020-11-30 10:00:00+00:00,BUY,signal,18503.06,18503.06,+0.0000%,705.51,0.03812929,+0.0000%,10592.51
2020-12-10 03:00:00+00:00,SELL,signal,18503.06,18409.77,+0.0000%,701.95,0.03812929,-0.7031%,11290.21
2020-12-14 02:00:00+00:00,BUY,signal,19297.70,19297.70,+0.0000%,705.18,0.03654207,+0.0000%,10587.55
2021-01-13 09:00:00+00:00,SELL,signal,19297.70,34343.62,+0.0000%,1254.99,0.03654207,+77.6117%,12391.09
2021-01-13 16:00:00+00:00,BUY,signal,34783.14,34783.14,+0.0000%,741.66,0.02132253,+0.0000%,11135.36
2021-01-17 13:00:00+00:00,SELL,signal,34783.14,34841.83,+0.0000%,742.92,0.02132253,-0.0315%,11878.79
2021-01-30 04:00:00+00:00,BUY,signal,33503.13,33503.13,+0.0000%,741.65,0.02213671,+0.0000%,11135.13
2021-02-24 10:00:00+00:00,SELL,signal,33503.13,50075.00,+0.0000%,1108.50,0.02213671,+49.1649%,12609.36
2021-03-07 16:00:00+00:00,BUY,signal,51052.90,51052.90,+0.0000%,765.96,0.01500322,+0.0000%,11500.10
2021-03-22 21:00:00+00:00,SELL,signal,51052.90,54566.77,+0.0000%,818.68,0.01500322,+6.6691%,12370.68
2021-03-29 13:00:00+00:00,BUY,signal,57960.17,57960.17,+0.0000%,769.36,0.01327400,+0.0000%,11551.23
2021-04-08 11:00:00+00:00,SELL,signal,57960.17,56421.18,+0.0000%,748.93,0.01327400,-2.8498%,12278.99
2021-04-10 01:00:00+00:00,BUY,signal,58413.52,58413.52,+0.0000%,767.90,0.01314595,+0.0000%,11529.28
2021-04-18 03:00:00+00:00,SELL,signal,58413.52,55014.46,+0.0000%,723.22,0.01314595,-6.0072%,12207.09
2021-04-18 05:00:00+00:00,BUY,signal,55569.18,55569.18,+0.0000%,764.83,0.01376350,+0.0000%,11483.11
2021-04-18 08:00:00+00:00,SELL,signal,55569.18,54953.65,+0.0000%,756.35,0.01376350,-1.3054%,12230.24
2021-04-30 18:00:00+00:00,BUY,signal,56857.47,56857.47,+0.0000%,764.16,0.01343993,+0.0000%,11473.12
2021-05-04 00:00:00+00:00,SELL,signal,56857.47,55291.71,+0.0000%,743.12,0.01343993,-2.9482%,12194.45
2021-05-05 14:00:00+00:00,BUY,signal,56982.80,56982.80,+0.0000%,762.66,0.01338401,+0.0000%,11450.57
2021-05-06 06:00:00+00:00,SELL,signal,56982.80,56587.65,+0.0000%,757.37,0.01338401,-0.8920%,12201.89
2021-05-06 07:00:00+00:00,BUY,signal,56814.79,56814.79,+0.0000%,762.21,0.01341561,+0.0000%,11443.76
2021-05-06 18:00:00+00:00,SELL,signal,56814.79,55753.57,+0.0000%,747.97,0.01341561,-2.0640%,12176.74
2021-05-07 12:00:00+00:00,BUY,signal,57459.27,57459.27,+0.0000%,761.16,0.01324688,+0.0000%,11428.01
2021-05-09 12:00:00+00:00,SELL,signal,57459.27,56433.53,+0.0000%,747.57,0.01324688,-1.9815%,12161.24
2021-05-09 13:00:00+00:00,BUY,signal,57220.02,57220.02,+0.0000%,760.15,0.01328470,+0.0000%,11412.92
2021-05-10 14:00:00+00:00,SELL,signal,57220.02,56831.59,+0.0000%,754.99,0.01328470,-0.8774%,12161.99
2021-05-10 15:00:00+00:00,BUY,signal,58296.36,58296.36,+0.0000%,759.71,0.01303179,+0.0000%,11406.24
2021-05-10 18:00:00+00:00,SELL,signal,58296.36,56771.88,+0.0000%,739.84,0.01303179,-2.8097%,12125.47
2021-05-12 00:00:00+00:00,BUY,signal,57348.95,57348.95,+0.0000%,758.28,0.01322227,+0.0000%,11384.87
2021-05-12 05:00:00+00:00,SELL,signal,57348.95,57227.98,+0.0000%,756.68,0.01322227,-0.4104%,12139.20
2021-07-25 22:00:00+00:00,BUY,signal,34656.78,34656.78,+0.0000%,758.08,0.02187381,+0.0000%,11381.76
2021-08-19 12:00:00+00:00,SELL,signal,34656.78,44577.56,+0.0000%,975.08,0.02187381,+28.3687%,12572.87
2021-08-20 01:00:00+00:00,BUY,signal,47193.51,47193.51,+0.0000%,772.41,0.01636693,+0.0000%,11597.02
