variant,n_trades,expectancy_pct,win_rate,test_return,max_drawdown
"基线 48/336/1440, 止损15%",52,0.003285817103051092,0.17307692307692307,0.11512408976980004,-0.2166268238477621
短均线 38 (-20%),54,0.002877321567597285,0.16666666666666666,0.09069442415621087,-0.22554001383123612
短均线 58 (+20%),53,0.0033791028093208553,0.1320754716981132,0.12804018079628254,-0.23653791501866983
长均线 269 (-20%),54,0.004041723074519093,0.16666666666666666,0.1665568953378933,-0.22279120684408293
长均线 403 (+20%),51,0.00012056593936267748,0.11764705882352941,0.19249461217759078,-0.2194353505620812
闸门 1152 (-20%),53,0.00260457268372379,0.18867924528301888,0.07462679958775809,-0.20402626940562474
闸门 1728 (+20%),38,0.005671774566866912,0.18421052631578946,0.17040411300894553,-0.1845392566320807
止损 12%,52,0.0032858171030510845,0.17307692307692307,0.1151240897697996,-0.2166268238477621
止损 18%,52,0.003285817103051092,0.17307692307692307,0.11512408976980004,-0.2166268238477621
去掉止损,52,0.003285817103051092,0.17307692307692307,0.11512408976980004,-0.2166268238477621
