segment,start,end,n_trades,expectancy_pct,win_rate,profit_factor,strat_return,bench_return,max_drawdown,symbol,strategy
1,2021-01-01 00:00:00+00:00,2021-07-02 00:00:00+00:00,13,0.02587467600615129,0.15384615384615385,2.515385912821996,0.4821770809606516,0.16483975067537204,-0.30286609707663537,BTC,baseline
2,2021-07-02 00:00:00+00:00,2021-12-31 00:00:00+00:00,8,0.03459997208057138,0.25,2.1636951380849925,0.22659939388121453,0.3937653887468364,-0.21529102550785928,BTC,baseline
3,2021-12-31 00:00:00+00:00,2022-07-01 00:00:00+00:00,15,-0.013016817351908384,0.06666666666666667,0.252893286109807,-0.1955629775774903,-0.5688684067079095,-0.26028847607030614,BTC,baseline
4,2022-07-01 00:00:00+00:00,2022-12-30 00:00:00+00:00,6,-0.020824710470854463,0.0,0.0,-0.12414680028162073,-0.18061323236961868,-0.1430988237321007,BTC,baseline
5,2022-12-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,7,0.045721746894421336,0.42857142857142855,2.844821230941759,0.4243367590973801,0.830560352914576,-0.17767041278571527,BTC,baseline
6,2023-06-30 00:00:00+00:00,2023-12-29 00:00:00+00:00,11,0.030541757720771976,0.09090909090909091,4.2075608400961695,0.263729287452539,0.3930763231841963,-0.12869669878184065,BTC,baseline
7,2023-12-29 00:00:00+00:00,2024-06-28 00:00:00+00:00,22,0.010844968848513105,0.09090909090909091,1.7728484449322965,0.11623388986928584,0.4516433682936658,-0.23652012880430473,BTC,baseline
8,2024-06-28 00:00:00+00:00,2024-12-27 00:00:00+00:00,22,0.005488235473770527,0.22727272727272727,1.5111118801058427,0.0665177644350452,0.5561169590643273,-0.1754482853358167,BTC,baseline
9,2024-12-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,10,0.00601423779945836,0.3,1.4326637941890263,0.03525699464117116,0.11358327654513989,-0.12722339830930463,BTC,baseline
10,2025-06-27 00:00:00+00:00,2025-12-26 00:00:00+00:00,13,-0.006523915375720348,0.0,0.0,-0.012814581493503563,-0.18331548788931484,-0.14199430175543715,BTC,baseline
